hvrecid,permitno,nocatch,nohrvrpt,harvdate,location,pots,soaktime,shrimp,keyid,keydate,year,comments,mailing,stat_area
112122,4088,0,0,8/10/2019,,3,4,2.5,slrenner,8/27/2019,2019,,0,
112123,1027,0,0,7/30/2019,SIMPSON BAY,3,3,2,slrenner,8/27/2019,2019,,0,
112124,1027,0,0,8/3/2019,SIMPSON BAY,3,4,2,slrenner,8/27/2019,2019,,0,
112125,1027,0,0,8/9/2019,SIMPSON BAY,3,4,1,slrenner,8/27/2019,2019,,0,
112126,2637,0,0,6/25/2019,PERRY ISLAND,3,12,3,slrenner,8/27/2019,2019,,0,
112127,2637,0,0,6/27/2019,PERRY ISLAND,3,24,4,slrenner,8/27/2019,2019,,0,
112128,2637,0,0,7/4/2019,PERRY ISLAND,3,12,5,slrenner,8/27/2019,2019,,0,
112129,2637,0,0,7/5/2019,PERRY ISLAND,3,12,5,slrenner,8/27/2019,2019,,0,
112130,2938,0,0,6/21/2019,WEST TWIN,2,24,0.5,slrenner,9/6/2019,2019,,0,
112131,2938,0,0,6/25/2019,LOUIS BAY,2,48,4,slrenner,9/6/2019,2019,,0,
112132,2938,1,0,6/30/2019,LOUIS BAY,2,18,0,slrenner,9/6/2019,2019,,0,
112133,2938,0,0,7/12/2019,PERRY ISLAND,2,24,2,slrenner,9/6/2019,2019,,0,
112134,2938,0,0,7/22/2019,NELLIE JUAN,2,24,0.5,slrenner,9/6/2019,2019,,0,
112135,2938,1,0,7/23/2019,APPLEGATE ISLAND,2,24,0,slrenner,9/6/2019,2019,,0,
112136,2938,1,0,7/25/2019,MAIN BAY,2,18,0,slrenner,9/6/2019,2019,,0,
112137,2938,0,0,7/28/2019,LOUIS BAY,2,18,5,slrenner,9/6/2019,2019,,0,
112138,1717,0,0,7/3/2019,WEST TWIN BAY,2,8,2,slrenner,9/6/2019,2019,,0,
112139,1717,0,0,7/4/2019,WEST TWIN BAY,2,20,1.5,slrenner,9/6/2019,2019,2 pulls,0,
112146,3542,0,0,6/10/2019,WEST PERRY,3,24,5,slrenner,9/11/2019,2019,,0,
112147,3542,0,0,6/14/2019,PERRY ISLAND,3,48,6,slrenner,9/11/2019,2019,,0,
112148,2757,0,0,6/19/2019,W SIDE PERRY ISLAND,3,60,3,slrenner,9/11/2019,2019,,0,
112149,2757,0,0,6/21/2019,ESTHER ROCK,3,48,1.5,slrenner,9/11/2019,2019,,0,
112150,2757,0,0,6/23/2019,"WEST IWEN BAY, PERRY ISLAND",3,36,1,slrenner,9/11/2019,2019,,0,
112151,2757,0,0,7/1/2019,"WEST TWIN BAY, PERRY ISLAND",3,48,2,slrenner,9/11/2019,2019,,0,
112152,2757,0,0,7/4/2019,W SIDE PERRY ISLAND,3,60,3.5,slrenner,9/11/2019,2019,,0,
112153,2757,0,0,7/15/2019,EGG ROCKS,2,48,0.5,slrenner,9/11/2019,2019,,0,
112154,1329,1,0,5/20/2019,PORT GRAVINA,3,15,0,slrenner,9/24/2019,2019,,0,
112155,1329,1,0,6/28/2019,PORT GRAVINA,3,3,0,slrenner,9/24/2019,2019,,0,
112156,1329,0,0,7/28/2019,PORT GRAVINA,3,3,0.01,slrenner,9/24/2019,2019,,0,
112157,3590,0,0,7/12/2019,MUMMY BAY,3,11,1,slrenner,9/24/2019,2019,,0,
112158,3590,0,0,7/13/2019,ICY BAY,3,4,1,slrenner,9/24/2019,2019,,0,
112159,3590,0,0,7/14/2019,MUMMY BAY,3,4,1,slrenner,9/24/2019,2019,,0,
112160,3590,0,0,7/15/2019,MUMMY BAY,3,10,2,slrenner,9/24/2019,2019,,0,
112161,3590,0,0,7/16/2019,MUMMY BAY,3,10,1,slrenner,9/24/2019,2019,,0,
112162,3206,1,0,7/26/2019,SIMPSON BAY,1,12,0,slrenner,9/24/2019,2019,,0,
112166,1540,0,0,7/1/2019,EAST TWIN,3,10,1,slrenner,9/24/2019,2019,,0,
112167,519,0,0,6/15/2019,SIMPSON BAY,3,12,2,slrenner,9/24/2019,2019,,0,
112168,4033,0,0,8/10/2019,,2,0,1,slrenner,9/24/2019,2019,,0,
112169,2343,0,0,5/27/2019,SIMPSON BAY,2,6,0.5,slrenner,10/2/2019,2019,,0,
112170,79,0,0,6/10/2019,MAIN BAY,3,24,2,slrenner,10/2/2019,2019,,0,
112171,79,0,0,6/14/2019,MAIN BAY,1,24,1.5,slrenner,10/2/2019,2019,,0,
112172,79,0,0,6/20/2019,ESTHER BAY,3,36,5,slrenner,10/2/2019,2019,,0,
112173,2430,0,0,6/3/2019,KINGS BAY,3,6,5,slrenner,10/2/2019,2019,,0,
112174,2430,0,0,6/4/2019,KINGS BAY,3,24,12,slrenner,10/2/2019,2019,,0,
112175,2430,0,0,6/5/2019,KINGS BAY,3,24,10,slrenner,10/2/2019,2019,,0,
112176,2430,0,0,6/6/2019,KINGS BAY,3,8,5,slrenner,10/2/2019,2019,,0,
112177,2430,0,0,8/9/2019,KINGS BAY,2,12,1,slrenner,10/2/2019,2019,,0,
112178,2430,0,0,8/10/2019,KINGS BAY,2,24,2,slrenner,10/2/2019,2019,,0,
112179,2430,0,0,8/11/2019,KINGS BAY,2,12,1,slrenner,10/2/2019,2019,,0,
112180,4083,0,0,8/9/2019,BLACKSTONE,3,10,1,slrenner,10/2/2019,2019,,0,
112181,4083,0,0,8/10/2019,PIGOT,3,8,7,slrenner,10/2/2019,2019,,0,
112182,4083,0,0,8/10/2019,HARRIMAN,3,10,4,slrenner,10/2/2019,2019,,0,
112183,4083,0,0,8/11/2019,HARRIMAN,3,10,8,slrenner,10/2/2019,2019,2 pulls,0,
112184,4083,0,0,8/12/2019,HARRIMAN,3,8,5,slrenner,10/2/2019,2019,,0,
112185,3793,1,0,8/10/2019,COCHRANE BAY,2,6,0,slrenner,10/2/2019,2019,,0,
112186,252,0,0,4/27/2019,COCHRANE BAY,3,72,3,slrenner,10/2/2019,2019,,0,
112187,252,0,0,5/24/2019,COCHRANE BAY,3,72,2,slrenner,10/2/2019,2019,,0,
112188,252,0,0,5/25/2019,WHALE BAY,3,12,1,slrenner,10/2/2019,2019,,0,
112189,252,0,0,5/26/2019,WHALE BAY,3,48,5,slrenner,10/2/2019,2019,2 pulls,0,
112190,252,0,0,5/27/2019,WHALE BAY,3,24,1,slrenner,10/2/2019,2019,,0,
112191,252,0,0,5/31/2019,WHALE BAY,3,96,1,slrenner,10/2/2019,2019,,0,
112192,252,0,0,6/1/2019,WHALE BAY,3,12,1,slrenner,10/2/2019,2019,,0,
112193,252,0,0,7/4/2019,CULROSS PASSAGE,3,24,2,slrenner,10/2/2019,2019,,0,
112194,252,0,0,7/5/2019,WELLS PASSAGE,3,24,2,slrenner,10/2/2019,2019,,0,
112195,252,0,0,8/8/2019,WELLS PASSAGE,3,24,2,slrenner,10/2/2019,2019,,0,
112196,252,0,0,8/9/2019,CULROSS PASSAGE,3,24,1,slrenner,10/2/2019,2019,,0,
112197,610,0,0,5/14/2019,SHOUP BAY,3,24,2,slrenner,10/2/2019,2019,,0,
112198,610,0,0,5/15/2019,SHOUP BAY,3,24,1,slrenner,10/2/2019,2019,,0,
112199,610,0,0,5/16/2019,SHOUP BAY,3,24,1,slrenner,10/2/2019,2019,,0,
112200,610,0,0,5/17/2019,SHOUP BAY,3,24,1,slrenner,10/2/2019,2019,,0,
112201,610,0,0,5/18/2019,SHOUP BAY,3,24,2,slrenner,10/2/2019,2019,,0,
112202,610,0,0,5/19/2019,SHOUP BAY,3,24,1,slrenner,10/2/2019,2019,,0,
112203,610,0,0,5/20/2019,SHOUP BAY,3,24,0.5,slrenner,10/2/2019,2019,,0,
112204,610,0,0,5/21/2019,SHOUP BAY,3,24,2,slrenner,10/2/2019,2019,,0,
112205,610,1,0,5/22/2019,SHOUP BAY,3,24,0,slrenner,10/2/2019,2019,,0,
112206,610,0,0,5/23/2019,SHOUP BAY,3,24,0.5,slrenner,10/2/2019,2019,,0,
112207,610,0,0,5/24/2019,SHOUP BAY,3,24,2,slrenner,10/2/2019,2019,,0,
112208,3333,0,0,7/3/2019,CULROSS,3,12,4,slrenner,10/2/2019,2019,,0,
112209,3333,0,0,7/4/2019,CULROSS,3,8,8,slrenner,10/2/2019,2019,2 pulls,0,
112210,3333,0,0,7/5/2019,CULROSS,3,10,4,slrenner,10/2/2019,2019,,0,
112211,3333,0,0,7/6/2019,CULROSS,3,24,3,slrenner,10/2/2019,2019,,0,
112212,154,0,0,5/29/2019,MAIN BAY,2,24,2,slrenner,10/2/2019,2019,,0,
112213,154,0,0,5/30/2019,MAIN BAY,2,12,1,slrenner,10/2/2019,2019,,0,
112214,154,0,0,6/2/2019,MAIN BAY,3,24,2,slrenner,10/2/2019,2019,,0,
112215,154,0,0,6/3/2019,MAIN BAY,3,12,2,slrenner,10/2/2019,2019,,0,
112216,154,0,0,6/8/2019,MAIN BAY,3,24,3,slrenner,10/2/2019,2019,,0,
112217,154,0,0,6/9/2019,MAIN BAY,3,24,3,slrenner,10/2/2019,2019,,0,
112218,154,0,0,6/22/2019,MAIN BAY,3,12,2,slrenner,10/2/2019,2019,,0,
112219,154,0,0,6/23/2019,MAIN BAY,3,24,3,slrenner,10/2/2019,2019,,0,
112220,154,0,0,7/1/2019,MAIN BAY,3,24,3,slrenner,10/2/2019,2019,,0,
112221,154,0,0,7/2/2019,MAIN BAY,3,24,3,slrenner,10/2/2019,2019,,0,
112222,154,0,0,7/6/2019,MAIN BAY,3,24,3,slrenner,10/2/2019,2019,,0,
112223,559,0,0,7/24/2019,PORT FIDALGO/ WHALEN BAY,3,18,0.5,slrenner,10/2/2019,2019,,0,
112224,559,0,0,7/25/2019,PORT FIDALGO/ WHALEN BAY,3,40,0.8,slrenner,10/2/2019,2019,,0,
112225,559,0,0,7/30/2019,PORT FIDALGO/ WHALEN BAY,3,16,0.5,slrenner,10/2/2019,2019,,0,
112226,559,0,0,8/1/2019,PORT FIDALGO/ WHALEN BAY,3,24,0.5,slrenner,10/2/2019,2019,,0,
112227,559,0,0,8/7/2019,PORT FIDALGO/ WHALEN BAY,3,26,0.8,slrenner,10/2/2019,2019,,0,
112228,559,0,0,8/9/2019,PORT FIDALGO/ WHALEN BAY,3,46,0.8,slrenner,10/2/2019,2019,,0,
112229,559,0,0,8/11/2019,PORT FIDALGO/ WHALEN BAY,3,50,0.8,slrenner,10/2/2019,2019,,0,
112230,4221,0,0,8/23/2019,VALDEZ NARROWS,3,24,0.5,slrenner,10/4/2019,2019,,0,
112231,4221,0,0,8/24/2019,VALDEZ NARROWS,3,24,0.05,slrenner,10/4/2019,2019,,0,
112232,4221,0,0,8/25/2019,VALDEZ NARROWS,3,24,0.75,slrenner,10/4/2019,2019,,0,
112233,2671,0,0,6/7/2019,HUMMER BAY MOUTH,3,3,1.5,slrenner,10/4/2019,2019,,0,
112234,617,0,0,7/17/2019,BLACKSTONE,2,24,4,slrenner,10/4/2019,2019,,0,
112235,617,0,0,7/18/2019,BLACKSTONE,3,24,2.5,slrenner,10/4/2019,2019,,0,
112236,617,0,0,7/22/2019,BLACKSTONE,2,12,2,slrenner,10/4/2019,2019,,0,
112237,986,0,0,6/16/2019,BLACKSTONE,3,23,1.5,slrenner,10/4/2019,2019,2 pulls,0,
112238,1513,0,0,5/14/2019,ESTHER ISLAND,3,12,3,slrenner,10/4/2019,2019,,0,
112239,1513,0,0,5/15/2019,ESTHER ISLAND,3,12,1,slrenner,10/4/2019,2019,,0,
112240,1513,0,0,5/16/2019,ESTHER ISLAND,3,12,4,slrenner,10/4/2019,2019,,0,
112241,1513,0,0,5/17/2019,ESTHER ISLAND,3,12,5,slrenner,10/4/2019,2019,,0,
112242,1513,0,0,5/18/2019,ESTHER ISLAND,3,12,4,slrenner,10/4/2019,2019,,0,
112243,2555,0,0,6/23/2019,PORT VALDEZ,3,36,0.2,slrenner,10/4/2019,2019,,0,
112244,2555,0,0,6/29/2019,PORT VALDEZ,3,48,1,slrenner,10/4/2019,2019,,0,
112245,2555,0,0,7/9/2019,PORT VALDEZ,3,48,1,slrenner,10/4/2019,2019,,0,
112246,2555,0,0,7/15/2019,PORT VALDEZ,3,72,1,slrenner,10/4/2019,2019,,0,
112247,2555,0,0,7/17/2019,VALDEZ ARM,3,24,0.5,slrenner,10/4/2019,2019,,0,
112248,2555,0,0,7/21/2019,VALDEZ ARM,3,48,1.5,slrenner,10/4/2019,2019,,0,
112249,679,0,0,4/16/2019,APPLEGATE PASSAGE,3,6,0.3,slrenner,10/4/2019,2019,,0,
112250,679,0,0,4/28/2019,APPLEGATE PASSAGE,3,5,1,slrenner,10/4/2019,2019,,0,
112251,679,0,0,5/4/2019,APPLEGATE ISLAND,3,10,2,slrenner,10/4/2019,2019,,0,
112252,679,0,0,5/22/2019,APPLEGATE PASSAGE,3,24,4,slrenner,10/4/2019,2019,,0,
112253,679,0,0,6/9/2019,APPLEGATE,3,24,3,slrenner,10/4/2019,2019,,0,
112254,679,0,0,6/18/2019,BLACKSTONE,3,24,4,slrenner,10/4/2019,2019,,0,
112255,597,1,0,6/1/2019,SQUAW BAY,2,0,0,slrenner,10/4/2019,2019,,0,
112256,597,1,0,6/2/2019,HOGKINS PT,2,0,0,slrenner,10/4/2019,2019,,0,
112257,597,0,0,6/4/2019,SHOESTRING,2,24,1,slrenner,10/4/2019,2019,,0,
112258,597,0,0,6/5/2019,SHOESTRING,2,48,0.05,slrenner,10/4/2019,2019,,0,
112259,597,0,0,6/7/2019,SHOESTRING,2,24,0.005,slrenner,10/4/2019,2019,,0,
112260,597,0,0,6/8/2019,ESTHER BAY,2,24,0.005,slrenner,10/4/2019,2019,,0,
112261,597,0,0,6/9/2019,PERRY PT,2,48,1,slrenner,10/4/2019,2019,,0,
112262,597,0,0,6/11/2019,PERRY PT,2,24,2,slrenner,10/4/2019,2019,,0,
112263,597,0,0,6/22/2019,PERRY PT,2,48,1,slrenner,10/4/2019,2019,,0,
112264,597,0,0,6/25/2019,PERRY PT,2,24,1,slrenner,10/4/2019,2019,,0,
112265,597,0,0,7/11/2019,PERRY PT,2,48,3,slrenner,10/4/2019,2019,,0,
112266,511,0,0,5/14/2019,PASSAGE CANAL,3,11,2,slrenner,10/4/2019,2019,,0,
112267,511,0,0,5/15/2019,ESTHER ROCK,3,9,8,slrenner,10/4/2019,2019,3 pulls,0,
112268,511,0,0,5/15/2019,PIGOT BAY MOUTH,3,10,2,slrenner,10/4/2019,2019,,0,
112269,511,0,0,5/16/2019,PIGOT BAY MOUTH,3,3,2,slrenner,10/4/2019,2019,,0,
112270,511,0,0,5/24/2019,ESTHER,3,12,5,slrenner,10/4/2019,2019,,0,
112271,511,0,0,5/25/2019,PIGOT BAY MOUTH,3,5,3,slrenner,10/4/2019,2019,,0,
112272,2078,0,0,8/2/2019,COCHRANE POINT,3,3,2,slrenner,10/4/2019,2019,,0,
112273,2078,0,0,8/6/2019,COCHRANE POINT,3,4,4,slrenner,10/4/2019,2019,,0,
112274,2078,0,0,8/8/2019,COCHRANE POINT,3,48,2,slrenner,10/4/2019,2019,,0,
112275,2078,0,0,8/15/2019,COCHRANE POINT,3,72,3,slrenner,10/4/2019,2019,,0,
112276,160,1,0,4/16/2019,CEDAR BAY,3,24,0,slrenner,10/4/2019,2019,,0,
112277,160,0,0,4/17/2019,CEDAR BAY,3,24,0.5,slrenner,10/4/2019,2019,,0,
112278,160,1,0,4/18/2019,CEDAR BAY,3,24,0,slrenner,10/4/2019,2019,,0,
112279,160,0,0,4/19/2019,CEDAR BAY,3,24,0.5,slrenner,10/4/2019,2019,,0,
112280,160,0,0,4/20/2019,CEDAR BAY,3,24,0.5,slrenner,10/4/2019,2019,,0,
112281,160,0,0,4/21/2019,CEDAR BAY,3,24,0.5,slrenner,10/4/2019,2019,,0,
112282,160,0,0,4/22/2019,CEDAR BAY,3,24,0.5,slrenner,10/4/2019,2019,,0,
112283,160,0,0,4/23/2019,CEDAR BAY,3,24,0.5,slrenner,10/4/2019,2019,,0,
112284,160,0,0,4/24/2019,CEDAR BAY,3,24,0.5,slrenner,10/4/2019,2019,,0,
112285,160,0,0,6/17/2019,HERRING BAY,3,24,1,slrenner,10/4/2019,2019,,0,
112286,160,0,0,6/26/2019,NAKED,3,24,11,slrenner,10/4/2019,2019,,0,
112287,406,0,0,5/15/2019,VALDEZ NARROWS,3,24,2.5,slrenner,10/4/2019,2019,,0,
112288,406,0,0,5/16/2019,VALDEZ NARROWS,3,24,2,slrenner,10/4/2019,2019,,0,
112289,406,0,0,5/17/2019,VALDEZ NARROWS,3,24,2,slrenner,10/4/2019,2019,,0,
112290,406,0,0,5/18/2019,VALDEZ NARROWS,3,24,3,slrenner,10/4/2019,2019,,0,
112291,406,0,0,5/19/2019,VALDEZ NARROWS,3,24,3,slrenner,10/4/2019,2019,,0,
112292,406,0,0,5/20/2019,VALDEZ NARROWS,3,24,2.5,slrenner,10/4/2019,2019,,0,
112293,406,0,0,5/21/2019,VALDEZ NARROWS,3,24,3,slrenner,10/4/2019,2019,,0,
112294,406,0,0,5/22/2019,VALDEZ NARROWS,3,24,2,slrenner,10/4/2019,2019,,0,
112295,406,0,0,5/23/2019,VALDEZ NARROWS,3,24,2,slrenner,10/4/2019,2019,,0,
112296,406,0,0,5/24/2019,VALDEZ NARROWS,3,24,2.5,slrenner,10/4/2019,2019,,0,
112297,406,0,0,5/25/2019,VALDEZ NARROWS,3,24,2,slrenner,10/4/2019,2019,,0,
112298,406,0,0,5/26/2019,VALDEZ NARROWS,3,24,2,slrenner,10/4/2019,2019,,0,
112299,406,0,0,5/27/2019,VALDEZ NARROWS,3,24,2,slrenner,10/4/2019,2019,,0,
112300,406,0,0,5/28/2019,VALDEZ NARROWS,3,24,2,slrenner,10/4/2019,2019,,0,
112301,406,0,0,5/29/2019,VALDEZ NARROWS,3,24,3,slrenner,10/4/2019,2019,,0,
112302,406,0,0,5/30/2019,VALDEZ NARROWS,3,24,1.5,slrenner,10/4/2019,2019,,0,
112303,406,0,0,5/31/2019,VALDEZ NARROWS,3,24,2.5,slrenner,10/4/2019,2019,,0,
112304,2418,0,0,6/9/2019,UNAKWIK,3,5,0.25,slrenner,10/4/2019,2019,,0,
112305,2418,0,0,6/10/2019,UNAKWIK,3,24,4,slrenner,10/4/2019,2019,,0,
112306,2418,0,0,6/11/2019,UNAKWIK,3,24,5.75,slrenner,10/4/2019,2019,,0,
112307,2418,0,0,6/12/2019,UNAKWIK,3,24,6,slrenner,10/4/2019,2019,,0,
112308,2418,0,0,6/13/2019,UNAKWIK,3,10,2,slrenner,10/4/2019,2019,,0,
112309,1906,0,0,6/18/2019,WELLS PASSAGE,3,5,3,slrenner,10/4/2019,2019,2 pulls,0,
112310,1906,0,0,6/19/2019,WELLS PASSAGE,3,4,5,slrenner,10/4/2019,2019,3 pulls,0,
112311,1906,0,0,6/20/2019,WELLS PASSAGE,3,124,3,slrenner,10/4/2019,2019,2 pulls,0,
112312,3026,1,0,6/23/2019,N OF GIBBON. GREEN,1,20,0,slrenner,10/4/2019,2019,,0,
112313,3026,1,0,6/24/2019,N OF DOUBLE BAY,1,20,0,slrenner,10/4/2019,2019,,0,
112314,3026,1,0,6/25/2019,SIMPSON BAY ENTRANCE,1,22,0,slrenner,10/4/2019,2019,,0,
112315,3026,1,0,6/28/2019,SHEEP BAY ENTRANCE,1,22,0,slrenner,10/4/2019,2019,,0,
112316,3026,1,0,6/29/2019,COMFORT BAY,1,44,0,slrenner,10/4/2019,2019,,0,
112317,3026,1,0,7/6/2019,CEDAR BAY AREA,1,20,0,slrenner,10/4/2019,2019,,0,
112318,3026,1,0,7/7/2019,BLUE FJORD,1,40,0,slrenner,10/4/2019,2019,,0,
112319,3026,1,0,7/9/2019,ESHAMY BAY,1,20,0,slrenner,10/4/2019,2019,,0,
112320,3026,1,0,7/10/2019,DRIER BAY,1,18,0,slrenner,10/4/2019,2019,,0,
112321,553,0,0,4/27/2019,Cochrane BAY,3,18,2,nlellickson,10/8/2019,2019,,0,
112322,3405,0,0,7/3/2019,PIGOT BY,3,40,4.75,nlellickson,10/8/2019,2019,,0,
112323,3405,0,0,8/2/2019,GREEN ISLAND (NORTH SIDE),3,18,0.5,nlellickson,10/8/2019,2019,,0,
112324,3405,0,0,8/3/2019,PORT CHALMERS (MONAGUE ISLAND),3,20,0.5,nlellickson,10/8/2019,2019,,0,
112325,656,0,0,4/15/2019,BETTLES BAY (MOUTH),3,5,6,nlellickson,10/8/2019,2019,,0,
