,,239365,115,2634,11333,753,2527,,,,,,,,,
135,7/18/2018,6,0,0,0,0,0,KENAI,29,,,,,,,
135,7/19/2018,7,0,0,0,0,0,KENAI,29,,,,,,,
135,7/23/2018,6,0,0,1,0,0,KENAI,30,,,,,,,
136,7/17/2018,2,0,0,0,0,0,KENAI,29,,,,,,,
136,7/18/2018,10,0,0,0,0,0,KENAI,29,,,,,,,
136,7/22/2018,23,0,0,0,0,0,KENAI,30,,,,,,,
138,6/26/2018,8,0,0,0,0,0,KASILOF,26,,,,,,,
138,6/27/2018,5,0,0,0,0,0,KASILOF,26,,,,,,,
139,7/20/2018,19,0,0,4,0,0,KENAI,29,,,,,,,
141,7/24/2018,1,0,0,0,0,0,KENAI,30,,,,,,,
141,7/25/2018,9,0,0,1,0,0,KENAI,30,,,,,,,
142,6/27/2018,4,0,0,0,0,0,KASILOF,26,,,,,,,
142,7/27/2018,22,0,0,1,0,0,KENAI,30,,,,,,,
143,7/23/2018,9,0,0,0,0,0,KENAI,30,,,,,,,
143,7/25/2018,5,0,0,0,0,0,KENAI,30,,,,,,,
143,7/26/2018,4,0,0,0,0,0,KENAI,30,,,,,,,
150,7/28/2018,5,0,0,0,0,0,KENAI,30,,,,,,,
151,7/23/2018,20,0,0,0,0,0,KENAI,30,,,,,,,
151,8/4/2018,21,0,0,0,0,0,KASILOF,31,,,,,,,
151,8/5/2018,26,0,0,0,0,0,KASILOF,32,,,,,,,
152,7/25/2018,6,0,0,0,0,0,KENAI,30,,,,,,,
155,7/12/2018,35,0,0,0,0,0,KENAI,28,,,,,,,
156,7/4/2018,4,0,0,0,0,0,KASILOF,27,,,,,,,
158,7/22/2018,21,0,0,2,0,0,KENAI,30,,,,,,,
160,6/20/2018,1,0,0,0,0,0,KASILOF,25,,,,,,,
163,7/28/2018,21,0,0,5,0,3,KENAI,30,,,,,,,
163,7/29/2018,1,0,0,1,0,0,KENAI,31,,,,,,,
164,7/23/2018,0,0,0,0,0,0,KENAI,30,,,,,,,
164,7/24/2018,0,0,0,0,0,0,KENAI,30,,,,,,,
166,7/22/2018,13,0,0,0,0,0,KENAI,30,,,,,,,
166,7/23/2018,5,0,1,3,0,0,KENAI,30,,,,,,,
167,7/15/2018,45,0,0,0,0,0,KASILOF,29,,,,,,,
168,7/17/2018,5,0,0,0,0,0,KENAI,29,,,,,,,
168,7/18/2018,6,0,0,0,0,0,KENAI,29,,,,,,,
172,7/11/2018,25,0,0,0,0,0,KASILOF,28,,,,,,,
172,7/12/2018,2,0,0,0,0,0,KASILOF,28,,,,,,,
173,7/11/2018,4,0,0,0,0,0,KASILOF,28,,,,,,,
173,7/12/2018,7,0,0,0,0,0,KASILOF,28,,,,,,,
174,7/10/2018,38,0,0,0,0,0,KASILOF,28,,,,,,,
174,7/17/2018,47,0,0,0,0,0,KASILOF,29,,,,,,,
176,8/17/2018,3,0,0,0,0,0,KENAI,33,,,,,,,
176,8/18/2018,11,0,0,0,0,0,KENAI,33,,,,,,,
176,8/19/2018,10,0,0,0,0,0,KENAI,34,,,,,,,
176,8/20/2018,9,0,0,0,0,0,KENAI,34,,,,,,,
177,7/10/2018,11,0,0,0,0,0,UNKNOWN,28,,,,,,,
177,7/11/2018,25,0,0,0,0,0,KASILOF,28,,,,,,,
178,7/15/2018,16,0,0,0,0,0,KENAI,29,,,,,,,
179,7/14/2018,4,0,0,0,0,0,KENAI,28,,,,,,,
180,7/14/2018,6,0,0,0,0,0,KENAI,28,,,,,,,
180,7/24/2018,2,0,0,0,0,0,KASILOF,30,,,,,,,
180,7/28/2018,2,0,0,4,0,0,KENAI,30,,,,,,,
180,7/29/2018,4,0,0,1,0,0,KENAI,31,,,,,,,
187,7/15/2018,1,0,0,0,0,0,KASILOF,29,,,,,,,
187,7/31/2018,7,0,0,0,0,0,KASILOF,31,,,,,,,
188,7/26/2018,3,0,0,1,0,0,KENAI,30,,,,,,,
188,7/28/2018,1,0,0,0,0,0,KENAI,30,,,,,,,
189,7/15/2018,3,0,0,0,0,1,KENAI,29,,,,,,,
189,7/16/2018,0,0,0,0,0,0,KENAI,29,,,,,,,
191,7/16/2018,0,0,0,0,0,0,KASILOF,29,,,,,,,
191,7/17/2018,0,0,0,2,0,0,KASILOF,29,,,,,,,
191,7/18/2018,0,0,0,1,0,0,KASILOF,29,,,,,,,
192,7/14/2018,8,0,0,0,0,0,KENAI,28,,,,,,,
192,7/15/2018,4,0,0,0,0,0,KENAI,29,,,,,,,
194,7/1/2018,7,0,0,1,0,0,KENAI,27,,,,,,,
196,7/18/2018,15,0,0,0,0,0,KENAI,29,,,,,,,
196,7/22/2018,7,0,0,0,0,0,KENAI,30,,,,,,,
197,7/17/2018,15,0,0,0,0,0,KENAI,29,,,,,,,
197,7/18/2018,9,0,0,0,0,0,KENAI,29,,,,,,,
197,7/19/2018,17,0,0,0,0,0,KENAI,29,,,,,,,
200,7/21/2018,9,0,0,0,0,0,KENAI,29,Y,7,0,,9,,
201,7/16/2018,2,0,0,0,0,0,KASILOF,29,,,,,,,
201,7/17/2018,6,0,0,0,0,0,KASILOF,29,,,,,,,
201,7/18/2018,4,0,0,0,0,0,KASILOF,29,,,,,,,
201,7/19/2018,8,0,0,0,0,0,KASILOF,29,,,,,,,
201,7/20/2018,5,0,0,0,0,0,KASILOF,29,,,,,,,
202,7/16/2018,4,0,0,0,0,0,KASILOF,29,,,,,,,
202,7/17/2018,6,0,0,0,0,0,KASILOF,29,,,,,,,
202,7/18/2018,9,0,0,0,0,0,KASILOF,29,,,,,,,
202,7/19/2018,8,0,0,0,0,0,KASILOF,29,,,,,,,
202,7/20/2018,8,0,0,0,0,0,KASILOF,29,,,,,,,
203,7/21/2018,10,0,0,0,0,0,KENAI,29,,,,,,,
203,7/22/2018,20,0,0,0,0,0,KENAI,30,,,,,,,
204,7/19/2018,10,0,0,0,0,0,KENAI,29,,,,,,,
207,7/19/2018,0,0,0,0,0,0,KENAI,29,,,,,,,
210,7/14/2018,0,0,0,1,0,0,KASILOF,28,,,,,,,
210,7/28/2018,0,0,0,3,0,0,KENAI,30,,,,,,,
211,7/20/2018,7,0,0,0,0,0,KENAI,29,,,,,,,
211,7/28/2018,4,0,0,0,0,0,KENAI,30,,,,,,,
213,7/17/2018,15,0,0,0,0,0,KENAI,29,,,,,,,
213,7/18/2018,9,0,0,0,0,0,KENAI,29,,,,,,,
213,7/19/2018,16,0,0,0,0,0,KENAI,29,,,,,,,
214,7/15/2018,20,0,0,0,0,0,KASILOF,29,,,,,,,
214,7/22/2018,26,0,0,0,0,0,KASILOF,30,,,,,,,
217,7/17/2018,15,0,0,0,0,1,KASILOF,29,,,,,,,
217,7/26/2018,2,0,0,0,0,0,FISH CREEK,30,,,,,,,
218,7/27/2018,0,0,0,0,0,0,KENAI,30,,,,,,,
218,8/3/2018,0,0,0,0,0,0,KASILOF,31,,,,,,,
220,7/26/2018,12,0,0,3,0,0,UNKNOWN,30,,,,,,,
222,7/19/2018,19,0,0,0,0,0,KENAI,29,,,,,,,
224,6/20/2018,1,0,0,0,0,0,KASILOF,25,,,,,,,
225,7/18/2018,6,0,0,0,0,0,KENAI,29,,,,,,,
226,7/21/2018,11,0,0,0,0,0,KENAI,29,Y,7,0,,11,,
228,7/20/2018,1,0,0,0,0,0,KENAI,29,Y,7,0,,1,,
229,7/20/2018,26,0,0,1,0,0,KENAI,29,,,,,,,
230,7/18/2018,13,0,0,0,0,0,KENAI,29,,,,,,,
230,7/19/2018,20,0,0,0,0,0,KENAI,29,,,,,,,
230,7/26/2018,12,0,0,0,0,0,KENAI,30,,,,,,,
231,7/20/2018,25,0,0,0,0,0,KASILOF,29,,,,,,,
232,7/26/2018,14,0,0,1,0,0,KENAI,30,,,,,,,
236,7/19/2018,28,0,0,0,0,0,KASILOF,29,,,,,,,
236,7/20/2018,34,0,0,0,0,0,KASILOF,29,,,,,,,
237,7/20/2018,16,0,0,0,0,0,KENAI,29,,,,,,,
238,7/20/2018,20,0,0,1,0,0,KENAI,29,,,,,,,
239,7/20/2018,24,0,0,1,0,0,KENAI,29,,,,,,,
240,7/23/2018,11,0,1,3,0,0,KENAI,30,,,,,,,
241,7/20/2018,15,0,0,0,0,0,KENAI,29,,,,,,,
244,7/20/2018,16,0,0,0,0,0,KENAI,29,,,,,,,
245,7/21/2018,11,0,0,0,0,0,KENAI,29,,,,,,,
246,7/20/2018,9,0,0,0,0,0,KASILOF,29,,,,,,,
246,7/21/2018,1,0,0,0,0,0,KENAI,29,,,,,,,
248,7/18/2018,14,0,0,0,0,0,KENAI,29,,,,,,,
248,7/19/2018,16,0,0,0,0,0,KENAI,29,,,,,,,
249,7/23/2018,2,0,0,0,0,0,KENAI,30,,,,,,,
250,7/19/2018,5,0,0,0,0,0,KENAI,29,,,,,,,
251,7/26/2018,2,0,0,1,0,0,KENAI,30,,,,,,,
253,7/27/2018,11,0,0,7,0,0,KENAI,30,,,,,,,
253,7/28/2018,12,0,0,6,0,0,KENAI,30,,,,,,,
254,7/27/2018,2,0,0,0,0,0,KENAI,30,,,,,,,
261,7/21/2018,1,0,0,0,0,0,KENAI,29,,,,,,,
261,7/22/2018,10,0,0,0,0,0,KENAI,30,,,,,,,
261,7/27/2018,9,0,0,3,0,0,KENAI,30,,,,,,,
262,7/30/2018,12,0,0,0,0,0,KENAI,31,,,,,,,
264,7/22/2018,0,0,0,0,0,0,KENAI,30,,,,,,,
265,7/23/2018,15,0,0,0,0,0,KENAI,30,,,,,,,
266,7/22/2018,11,0,0,1,0,0,KENAI,30,,,,,,,
267,7/4/2018,20,0,0,0,0,0,KASILOF,27,,,,,,,
270,7/21/2018,9,0,0,0,0,0,KENAI,29,,,,,,,
270,7/22/2018,13,0,0,0,0,0,KENAI,30,,,,,,,
271,7/22/2018,2,0,0,0,0,0,KENAI,30,,,,,,,
272,7/22/2018,22,0,0,0,0,0,KENAI,30,,,,,,,
274,7/22/2018,25,0,0,0,0,0,KENAI,30,,,,,,,
275,7/23/2018,10,0,0,0,0,0,KASILOF,30,,,,,,,
275,7/24/2018,12,0,0,0,0,0,KASILOF,30,,,,,,,
276,7/25/2018,0,0,0,0,0,0,KENAI,30,,,,,,,
276,7/26/2018,2,0,0,0,0,0,KENAI,30,,,,,,,
277,7/24/2018,10,0,0,0,0,0,KENAI,30,,,,,,,
278,7/28/2018,2,0,0,2,0,1,KENAI,30,,,,,,,
280,7/23/2018,7,0,0,3,0,0,KENAI,30,,,,,,,
280,7/29/2018,9,0,0,6,0,0,KENAI,31,,,,,,,
281,7/26/2018,26,0,0,0,0,0,KENAI,30,,,,,,,
282,7/24/2018,4,0,0,1,0,0,KENAI,30,,,,,,,
283,7/26/2018,20,0,0,0,0,0,KASILOF,30,,,,,,,
285,7/16/2018,0,0,0,0,0,0,KENAI,29,,,,,,,
287,7/27/2018,0,0,0,0,0,0,KENAI,30,,,,,,,
288,7/25/2018,0,0,0,0,0,0,KENAI,30,,,,,,,
289,7/28/2018,22,0,0,0,0,0,KENAI,30,,,,,,,
290,7/26/2018,0,0,0,0,0,0,KENAI,30,,,,,,,
291,7/25/2018,18,0,0,2,0,0,KENAI,30,,,,,,,
292,7/26/2018,6,0,0,5,0,0,KENAI,30,,,,,,,
292,7/27/2018,10,0,0,8,0,0,KENAI,30,,,,,,,
293,7/25/2018,16,0,0,0,0,0,KENAI,30,,,,,,,
294,7/25/2018,9,0,0,2,0,0,KASILOF,30,,,,,,,
294,7/26/2018,8,0,0,2,0,0,KENAI,30,,,,,,,
295,7/31/2018,1,0,0,0,0,0,KENAI,31,,,,,,,
295,8/1/2018,6,0,0,0,0,0,KENAI,31,,,,,,,
298,7/28/2018,0,0,0,0,0,0,KENAI,30,,,,,,,
299,7/28/2018,6,0,2,0,0,0,KASILOF,30,,,,,,,
300,7/27/2018,15,0,0,0,0,0,FISH CREEK,30,,,,,,,
301,7/24/2018,11,0,0,0,0,0,KENAI,30,,,,,,,
301,7/25/2018,3,0,0,0,0,0,KENAI,30,,,,,,,
302,7/1/1990,8,0,0,0,0,0,KASILOF,27,,,,,,,
303,7/20/2018,8,0,0,3,0,0,KENAI,29,,,,,,,
304,7/28/2018,10,0,0,2,0,0,KENAI,30,,,,,,,
305,7/28/2018,2,0,0,1,0,0,KENAI,30,,,,,,,
306,7/28/2018,0,0,0,0,0,0,KASILOF,30,,,,,,,
307,7/27/2018,4,0,0,0,0,0,KENAI,30,,,,,,,
307,7/28/2018,5,0,0,0,0,0,KENAI,30,,,,,,,
308,7/28/2018,6,0,0,0,0,0,KENAI,30,,,,,,,
308,7/29/2018,2,0,0,1,0,0,KENAI,31,,,,,,,
309,7/29/2018,13,0,0,0,0,0,KENAI,31,,,,,,,
310,7/28/2018,10,0,0,0,0,0,KENAI,30,,,,,,,
310,7/29/2018,15,0,0,0,0,0,KASILOF,31,,,,,,,
312,9/2/2018,1,0,0,0,0,0,FISH CREEK,36,,,,,,,
313,7/22/2018,0,0,0,0,0,0,FISH CREEK,30,,,,,,,
314,7/21/2018,3,0,0,0,0,0,FISH CREEK,29,,,,,,,
317,7/30/2018,8,0,0,0,0,0,KASILOF,31,,,,,,,
317,7/31/2018,11,0,0,0,0,0,KASILOF,31,,,,,,,
318,8/2/2018,32,0,2,0,1,0,KASILOF,31,,,,,,,
702,6/26/2018,2,0,0,0,0,0,KASILOF,26,,,,,,,
702,6/27/2018,3,0,0,0,0,0,KASILOF,26,,,,,,,
702,6/28/2018,0,0,0,0,0,0,KASILOF,26,,,,,,,
702,6/29/2018,3,0,0,0,0,0,KASILOF,26,,,,,,,
702,7/16/2018,1,0,0,0,0,0,KASILOF,29,,,,,,,
704,6/19/2018,7,0,0,0,0,0,KASILOF,25,,,,,,,
704,6/20/2018,7,0,0,0,0,0,KASILOF,25,,,,,,,
709,6/14/2018,6,1,0,0,0,0,KASILOF,24,,,,,,,
710,7/20/2018,23,0,0,0,0,0,KASILOF,29,,,,,,,
711,6/16/2018,1,0,0,0,0,0,KASILOF,24,Y,6,0,1,,,
711,6/17/2018,2,0,0,0,0,0,KASILOF,25,,,,,,,
711,6/24/2018,7,0,0,0,0,0,KASILOF,26,,,,,,,
711,7/15/2018,10,0,0,0,0,0,KASILOF,29,,,,,,,
712,7/10/2018,0,0,0,0,0,1,KENAI,28,,,,,,,
712,7/12/2018,3,0,0,0,0,1,KASILOF,28,,,,,,,
713,7/12/2018,10,0,0,0,0,0,KENAI,28,,,,,,,
713,7/13/2018,7,0,0,0,0,0,KENAI,28,,,,,,,
714,7/6/2018,9,0,0,0,0,0,KASILOF,27,,,,,,,
714,7/15/2018,12,0,0,2,0,0,KASILOF,29,,,,,,,
714,7/22/2018,22,0,0,4,0,0,KASILOF,30,,,,,,,
714,7/29/2018,25,0,0,0,0,0,KASILOF,31,,,,,,,
716,6/27/2018,10,0,0,0,0,0,KASILOF,26,Y,4,0,,,,10
716,7/17/2018,15,0,0,0,0,0,KASILOF,29,Y,4,0,,,,15
716,7/26/2018,30,0,0,0,0,0,KASILOF,30,Y,4,0,,,,30
724,6/30/2018,8,0,0,0,0,0,KASILOF,26,,,,,,,
724,7/23/2018,3,0,0,0,0,0,KASILOF,30,,,,,,,
724,7/26/2018,1,0,0,0,0,0,KASILOF,30,,,,,,,
724,7/28/2018,10,0,0,2,0,0,KASILOF,30,,,,,,,
727,7/15/2018,7,0,0,0,0,0,KASILOF,29,,,,,,,
727,7/22/2018,1,0,0,0,0,0,KENAI,30,,,,,,,
730,7/4/2018,1,0,0,0,0,5,KASILOF,27,,,,,,,
731,7/5/2018,19,0,0,0,0,0,KASILOF,27,,,,,,,
732,7/21/2018,6,0,0,0,0,0,KENAI,29,,,,,,,
733,7/13/2018,0,0,0,0,0,0,KENAI,28,,,,,,,
735,7/14/2018,2,0,0,0,0,0,KASILOF,28,,,,,,,
735,7/21/2018,10,0,0,0,0,0,KASILOF,29,,,,,,,
736,7/20/2018,0,0,0,0,0,0,KENAI,29,,,,,,,
738,7/6/2018,0,0,0,0,0,0,KASILOF,27,,,,,,,
738,7/7/2018,6,0,0,0,0,0,KASILOF,27,,,,,,,
741,7/18/2018,1,0,0,0,0,0,KENAI,29,,,,,,,
742,7/7/2018,18,0,0,0,0,0,KASILOF,27,,,,,,,
742,7/14/2018,7,0,0,0,0,0,KENAI,28,,,,,,,
742,7/21/2018,12,0,0,0,0,0,KENAI,29,,,,,,,
742,7/28/2018,9,0,0,0,0,0,UNKNOWN,30,,,,,,,
745,7/24/2018,12,0,0,0,0,0,KENAI,30,,,,,,,
746,7/14/2018,1,0,0,0,0,4,KENAI,28,,,,,,,
746,7/28/2018,5,0,0,3,0,0,KENAI,30,Y,7,2,,3,,
748,7/17/2018,0,0,0,0,0,0,KENAI,29,,,,,,,
748,7/18/2018,2,0,0,0,0,0,KENAI,29,,,,,,,
748,7/19/2018,10,0,0,0,0,0,KENAI,29,,,,,,,
748,7/20/2018,7,0,0,0,0,0,KENAI,29,,,,,,,
749,7/8/2018,7,0,0,0,0,0,KASILOF,28,,,,,,,
749,7/14/2018,15,0,0,0,0,0,KASILOF,28,,,,,,,
749,7/29/2018,18,0,0,0,0,0,KASILOF,31,,,,,,,
750,7/8/2018,17,0,0,0,0,0,KASILOF,28,,,,,,,
750,7/14/2018,2,0,0,0,0,0,KASILOF,28,,,,,,,
750,7/29/2018,16,0,0,0,0,0,KASILOF,31,,,,,,,
751,7/21/2018,8,0,0,0,0,0,KENAI,29,,,,,,,
753,7/18/2018,12,0,0,0,0,0,KENAI,29,,,,,,,
753,7/19/2018,28,0,0,0,0,0,KENAI,29,,,,,,,
753,7/20/2018,5,0,0,0,0,0,KENAI,29,,,,,,,
754,7/9/2018,4,0,0,0,0,0,KASILOF,28,,,,,,,
755,7/14/2018,0,0,0,0,0,0,KENAI,28,,,,,,,
755,7/15/2018,0,0,0,0,0,0,KASILOF,29,,,,,,,
756,7/17/2018,4,0,0,1,0,0,KENAI,29,,,,,,,
756,7/18/2018,4,0,0,1,0,0,KENAI,29,,,,,,,
757,7/11/2018,1,0,0,0,0,0,KENAI,28,,,,,,,
757,7/12/2018,5,0,0,0,0,0,KENAI,28,,,,,,,
759,7/21/2018,3,0,0,2,0,0,KASILOF,29,Y,7,0,,3,,
760,7/18/2018,3,0,0,0,0,1,KENAI,29,,,,,,,
760,7/19/2018,32,0,0,0,0,2,KENAI,29,,,,,,,
760,7/21/2018,15,0,0,0,0,0,KENAI,29,,,,,,,
762,7/29/2018,0,0,0,0,0,0,FISH CREEK,31,,,,,,,
765,7/15/2018,5,0,0,0,0,0,KASILOF,29,,,,,,,
765,7/20/2018,12,0,0,0,0,0,KASILOF,29,,,,,,,
765,7/29/2018,10,0,0,0,0,0,KASILOF,31,,,,,,,
767,7/14/2018,1,0,0,0,0,0,KENAI,28,,,,,,,
767,7/20/2018,0,0,0,0,0,0,KENAI,29,,,,,,,
770,7/13/2018,0,0,0,0,0,0,KENAI,28,,,,,,,
771,7/21/2018,8,0,0,0,0,0,KENAI,29,,,,,,,
772,7/13/2018,0,0,0,0,0,0,KENAI,28,,,,,,,
773,7/13/2018,3,0,0,0,0,0,KENAI,28,,,,,,,
773,7/14/2018,0,0,0,0,0,0,KENAI,28,,,,,,,
773,7/20/2018,3,0,0,0,0,0,KENAI,29,,,,,,,
773,7/21/2018,2,0,0,0,0,0,KENAI,29,,,,,,,
774,7/12/2018,7,0,0,0,0,0,KENAI,28,,,,,,,
777,6/24/2018,0,0,0,0,0,0,KASILOF,26,,,,,,,
778,7/17/2018,8,0,0,0,0,0,KENAI,29,,,,,,,
779,6/29/2018,6,0,0,0,0,1,KASILOF,26,,,,,,,
779,7/16/2018,15,0,0,0,0,1,KASILOF,29,,,,,,,
781,7/14/2018,5,0,0,0,0,0,KENAI,28,,,,,,,
781,7/21/2018,4,0,0,0,0,0,KENAI,29,,,,,,,
781,7/28/2018,3,0,0,3,0,0,UNKNOWN,30,,,,,,,
782,7/20/2018,25,0,0,0,0,0,KASILOF,29,,,,,,,
783,7/10/2018,0,0,0,0,0,0,KENAI,28,,,,,,,
785,7/10/2018,0,0,0,0,0,0,KENAI,28,,,,,,,
786,7/15/2018,3,0,0,1,0,0,KENAI,29,,,,,,,
787,7/4/2018,1,0,0,0,0,0,KENAI,27,,,,,,,
789,7/25/2018,30,0,0,4,0,0,KENAI,30,,,,,,,
790,7/15/2018,3,0,0,0,0,0,KASILOF,29,,,,,,,
790,7/16/2018,9,0,0,0,0,0,KASILOF,29,,,,,,,
790,7/19/2018,21,0,0,0,0,0,KASILOF,29,,,,,,,
791,7/15/2018,3,0,0,0,0,0,KASILOF,29,,,,,,,
792,7/21/2018,1,0,0,0,0,0,KENAI,29,,,,,,,
792,7/28/2018,8,0,0,0,0,0,KENAI,30,,,,,,,
793,7/16/2018,2,0,0,0,0,0,KASILOF,29,,,,,,,
793,7/17/2018,10,0,0,0,0,0,KASILOF,29,,,,,,,
795,7/27/2018,0,0,0,0,0,0,UNKNOWN,30,,,,,,,
796,7/17/2018,5,0,0,0,0,0,KENAI,29,,,,,,,
796,7/18/2018,17,0,0,0,0,0,KENAI,29,,,,,,,
796,7/19/2018,10,0,0,0,0,0,KENAI,29,,,,,,,
796,7/25/2018,4,0,0,0,0,0,KENAI,30,,,,,,,
796,7/26/2018,21,0,0,2,0,0,KENAI,30,,,,,,,
796,7/27/2018,3,0,0,3,0,0,KENAI,30,,,,,,,
798,7/21/2018,0,0,0,0,0,0,KASILOF,29,,,,,,,
798,7/21/2018,0,0,0,0,0,0,KENAI,29,,,,,,,
799,7/21/2018,1,0,0,0,0,0,KASILOF,29,,,,,,,
799,7/21/2018,0,0,0,0,0,0,KENAI,29,,,,,,,
802,7/22/2018,13,0,0,1,0,0,KENAI,30,,,,,,,
803,7/13/2018,7,0,0,0,0,0,KASILOF,28,,,,,,,
803,7/14/2018,7,0,0,0,0,0,KASILOF,28,,,,,,,
804,7/23/2018,18,0,0,0,0,0,KENAI,30,,,,,,,
805,8/4/2018,8,0,0,0,0,0,KASILOF,31,,,,,,,
806,7/19/2018,24,0,0,0,0,0,KENAI,29,,,,,,,
806,7/20/2018,9,0,0,0,0,0,KASILOF,29,,,,,,,
810,7/17/2018,9,0,0,1,0,0,KENAI,29,,,,,,,
810,7/18/2018,11,0,0,0,0,0,KENAI,29,,,,,,,
812,7/7/2018,25,0,0,0,0,0,KENAI,27,Y,7,0,,25,,
817,7/21/2018,5,0,0,0,0,0,KENAI,29,,,,,,,
817,7/28/2018,6,0,0,3,0,0,KENAI,30,,,,,,,
818,7/23/2018,3,0,0,0,0,0,KENAI,30,,,,,,,
818,7/24/2018,8,0,0,0,0,0,KENAI,30,,,,,,,
820,7/18/2018,4,0,0,0,0,0,KENAI,29,,,,,,,
820,7/19/2018,6,0,0,0,0,0,KENAI,29,,,,,,,
820,7/20/2018,7,0,0,0,0,0,KENAI,29,,,,,,,
820,7/21/2018,7,0,0,0,0,0,KENAI,29,,,,,,,
821,7/18/2018,6,0,0,0,0,0,KASILOF,29,,,,,,,
821,7/19/2018,4,0,0,0,0,0,KASILOF,29,,,,,,,
821,7/24/2018,6,0,0,1,0,0,KASILOF,30,,,,,,,
821,7/25/2018,17,0,0,1,0,0,KASILOF,30,,,,,,,
822,7/20/2018,22,0,0,0,0,0,KASILOF,29,,,,,,,
825,7/22/2018,7,0,0,0,0,0,KENAI,30,,,,,,,
825,7/23/2018,3,0,0,0,0,0,KENAI,30,,,,,,,
827,7/20/2018,13,0,0,0,0,0,KENAI,29,,,,,,,
828,7/20/2018,8,0,0,0,0,0,KENAI,29,,,,,,,
828,7/21/2018,2,0,0,0,0,0,KENAI,29,,,,,,,
831,7/20/2018,26,0,0,0,0,0,KENAI,29,,,,,,,
831,7/21/2018,14,0,0,0,0,0,KENAI,29,,,,,,,
831,7/22/2018,35,0,0,0,0,0,KENAI,30,,,,,,,
834,7/20/2018,10,0,0,1,0,0,KENAI,29,,,,,,,
835,7/20/2018,0,0,0,3,0,0,KASILOF,29,,,,,,,
836,7/21/2018,4,0,0,0,0,0,KENAI,29,,,,,,,
836,7/29/2018,14,0,0,1,0,0,KASILOF,31,,,,,,,
