Pike #,Samplers,Section,Date,Start Time,Stop time,Species,Fork length,Tag #,Comments,Event,Gear
91,SVD GVD,2,6/1/2018,9:10,19:10,NP,528,1174,,Mark,HL
92,SVD GVD,2,6/1/2018,9:10,19:10,NP,478,1172,,Mark,HL
93,SVD GVD,2,6/1/2018,9:10,19:10,NP,361,1171,,Mark,HL
94,SVD GVD,2,6/1/2018,9:10,19:10,NP,357,1169,,Mark,HL
95,SVD GVD,2,6/1/2018,9:10,19:10,NP,478,1168,,Mark,HL
96,SVD GVD,2,6/1/2018,9:10,19:10,NP,374,1167,,Mark,HL
97,SVD GVD,2,6/1/2018,9:10,19:10,NP,325,1166,,Mark,HL
98,Eric and Rob,3,6/2/2018,9:05,17:12,NP,390,1229,,Mark,HL
99,Eric and Rob,3,6/2/2018,9:05,17:12,NP,365,1228,,Mark,HL
100,Eric and Rob,3,6/2/2018,9:05,17:12,NP,465,1227,,Mark,HL
101,Eric and Rob,3,6/2/2018,9:05,17:12,NP,570,1226,,Mark,HL
102,Eric and Rob,3,6/2/2018,9:05,17:12,NP,370,1225,,Mark,HL
103,Eric and Rob,3,6/2/2018,9:05,17:12,NP,360,1250,,Mark,HL
104,Eric and Rob,3,6/2/2018,9:05,17:12,NP,465,1251,,Mark,HL
105,Eric and Rob,3,6/2/2018,9:05,17:12,NP,392,1252,,Mark,HL
106,Eric and Rob,3,6/2/2018,9:05,17:12,NP,575,1253,,Mark,HL
107,Eric and Rob,3,6/2/2018,9:05,17:12,NP,474,1254,,Mark,HL
108,Eric and Rob,3,6/2/2018,9:05,17:12,NP,410,1255,,Mark,HL
109,Eric and Rob,3,6/2/2018,9:05,17:12,NP,351,1256,,Mark,HL
110,Eric and Rob,3,6/2/2018,9:05,17:12,NP,404,1257,,Mark,HL
111,Eric and Rob,3,6/2/2018,9:05,17:12,NP,341,1258,,Mark,HL
112,Eric and Rob,3,6/2/2018,9:05,17:12,NP,330,1259,,Mark,HL
113,Eric and Rob,3,6/2/2018,9:05,17:12,NP,382,1260,,Mark,HL
114,Eric and Rob,3,6/2/2018,9:05,17:12,NP,460,1261,,Mark,HL
115,Eric and Rob,3,6/2/2018,9:05,17:12,NP,351,1262,,Mark,HL
116,Eric and Rob,3,6/2/2018,9:05,17:12,NP,335,1263,,Mark,HL
117,Eric and Rob,3,6/2/2018,9:05,17:12,NP,401,1264,Bleeder,Mark,HL
118,Eric and Rob,3,6/2/2018,9:05,17:12,NP,352,1265,Bad Bleeder,Mark,HL
119,Eric and Rob,3,6/2/2018,9:05,17:12,NP,555,,Mort (1266),Mark,HL
120,Eric and Rob,3,6/2/2018,9:05,17:12,NP,443,1267,,Mark,HL
121,Eric and Rob,3,6/2/2018,9:05,17:12,NP,438,,Fyke mort 1268,Mark,HL
122,Eric and Rob,3,6/2/2018,9:05,17:12,NP,503,1269,Bleeder,Mark,HL
123,Eric and Rob,3,6/2/2018,9:05,17:12,NP,302,1270,,Mark,HL
124,Eric and Rob,3,6/2/2018,9:05,17:12,NP,458,1271,,Mark,HL
125,Eric and Rob,3,6/2/2018,9:05,17:12,NP,473,1272,,Mark,HL
126,Eric and Rob,3,6/2/2018,9:05,17:12,NP,560,1273,,Mark,HL
127,Eric and Rob,3,6/2/2018,9:05,17:12,NP,604,1274,,Mark,HL
128,Eric and Rob,3,6/2/2018,9:05,17:12,NP,433,1299,,Mark,HL
129,Eric and Rob,3,6/2/2018,9:05,17:12,NP,526,1298,,Mark,HL
130,Eric and Rob,3,6/2/2018,9:05,17:12,NP,416,1297,,Mark,HL
131,Eric and Rob,3,6/2/2018,9:05,17:12,NP,580,1296,Bleeder,Mark,HL
132,Eric and Rob,3,6/2/2018,9:05,17:12,NP,480,1295,,Mark,HL
133,Eric and Rob,3,6/2/2018,9:05,17:12,NP,435,1294,,Mark,HL
134,Eric and Rob,3,6/2/2018,9:05,17:12,NP,436,1293,,Mark,HL
135,Eric and Rob,3,6/2/2018,9:05,17:12,NP,502,1292,,Mark,HL
136,Eric and Rob,3,6/2/2018,9:05,17:12,NP,337,1291,,Mark,HL
137,Eric and Rob,3,6/2/2018,9:05,17:12,NP,446,1290,,Mark,HL
138,Eric and Rob,3,6/2/2018,9:05,17:12,NP,410,1288,,Mark,HL
139,Eric and Rob,3,6/2/2018,9:05,17:12,NP,356,1287,,Mark,HL
140,Eric and Rob,3,6/2/2018,9:05,17:12,NP,476,1286,,Mark,HL
141,Eric and Rob,3,6/2/2018,9:05,17:12,NP,447,1285,,Mark,HL
142,Eric and Rob,3,6/2/2018,9:05,17:12,NP,635,1284,,Mark,HL
143,Eric and Rob,3,6/2/2018,9:05,17:12,NP,311,1283,,Mark,HL
144,Eric and Rob,3,6/2/2018,9:05,17:12,NP,444,1282,,Mark,HL
145,Eric and Rob,3,6/2/2018,9:05,17:12,NP,345,1281,,Mark,HL
146,Eric and Rob,3,6/2/2018,9:05,17:12,NP,526,1280,,Mark,HL
147,Eric and Rob,3,6/2/2018,9:05,17:12,NP,386,1279,,Mark,HL
148,Eric and Rob,3,6/2/2018,9:05,17:12,NP,419,1278,,Mark,HL
149,Eric and Rob,3,6/2/2018,9:05,17:12,NP,430,1277,,Mark,HL
150,Eric and Rob,3,6/2/2018,9:05,17:12,NP,381,1276,,Mark,HL
151,Eric and Rob,3,6/2/2018,9:05,17:12,NP,343,1275,,Mark,HL
152,Eric and Rob,3,6/2/2018,9:05,17:12,NP,382,1424,,Mark,HL
153,Eric and Rob,3,6/2/2018,9:05,17:12,NP,323,1423,,Mark,HL
154,Eric and Rob,3,6/2/2018,9:05,17:12,NP,427,1422,,Mark,HL
155,Eric and Rob,3,6/2/2018,9:05,17:12,NP,412,1421,,Mark,HL
156,Eric and Rob,3,6/2/2018,9:05,17:12,NP,523,1420,,Mark,HL
157,Eric and Rob,3,6/2/2018,9:05,17:12,NP,396,,Fyke mort 1419,Mark,HL
158,Eric and Rob,3,6/2/2018,9:05,17:12,NP,429,1418,,Mark,HL
159,Eric and Rob,3,6/2/2018,9:05,17:12,NP,476,1417,,Mark,HL
160,Eric and Rob,3,6/2/2018,9:05,17:12,NP,557,1416,,Mark,HL
161,Eric and Rob,3,6/2/2018,9:05,17:12,NP,315,,Angler mort 1415,Mark,HL
162,Eric and Rob,3,6/2/2018,9:05,17:12,NP,446,1414,,Mark,HL
163,Eric and Rob,3,6/2/2018,9:05,17:12,NP,540,1413,,Mark,HL
164,Eric and Rob,3,6/2/2018,9:05,17:12,NP,335,1412,,Mark,HL
165,SVD GVD,3,6/2/2018,9:02,17:25,NP,435,1165,,Mark,HL
166,SVD GVD,3,6/2/2018,9:02,17:25,NP,460,1164,,Mark,HL
167,SVD GVD,3,6/2/2018,9:02,17:25,NP,369,1162,,Mark,HL
168,SVD GVD,3,6/2/2018,9:02,17:25,NP,412,1161,,Mark,HL
169,SVD GVD,3,6/2/2018,9:02,17:25,NP,387,1160,,Mark,HL
170,SVD GVD,3,6/2/2018,9:02,17:25,NP,601,1159,,Mark,HL
171,SVD GVD,3,6/2/2018,9:02,17:25,NP,411,1158,,Mark,HL
172,SVD GVD,3,6/2/2018,9:02,17:25,NP,452,1157,,Mark,HL
173,SVD GVD,3,6/2/2018,9:02,17:25,NP,448,1156,,Mark,HL
174,SVD GVD,3,6/2/2018,9:02,17:25,NP,364,1155,,Mark,HL
175,SVD GVD,3,6/2/2018,9:02,17:25,NP,520,1154,,Mark,HL
176,SVD GVD,3,6/2/2018,9:02,17:25,NP,394,,Mort (1153),Mark,HL
177,SVD GVD,3,6/2/2018,9:02,17:25,NP,433,1152,,Mark,HL
178,SVD GVD,3,6/2/2018,9:02,17:25,NP,473,1151,,Mark,HL
179,SVD GVD,3,6/2/2018,9:02,17:25,NP,435,1150,,Mark,HL
180,SVD GVD,3,6/2/2018,9:02,17:25,NP,421,1199,,Mark,HL
181,SVD GVD,3,6/2/2018,9:02,17:25,NP,306,1197,,Mark,HL
182,SVD GVD,3,6/2/2018,9:02,17:25,NP,406,1196,,Mark,HL
183,SVD GVD,3,6/2/2018,9:02,17:25,NP,330,1195,,Mark,HL
184,SVD GVD,3,6/2/2018,9:02,17:25,NP,300,1194,,Mark,HL
185,SVD GVD,3,6/2/2018,9:02,17:25,NP,347,1193,,Mark,HL
186,SVD GVD,3,6/2/2018,9:02,17:25,NP,332,1192,,Mark,HL
187,SVD GVD,3,6/2/2018,9:02,17:25,NP,304,1191,,Mark,HL
188,SVD GVD,3,6/2/2018,9:02,17:25,NP,390,1190,,Mark,HL
189,SVD GVD,3,6/2/2018,9:02,17:25,NP,484,1189,,Mark,HL
190,SVD GVD,3,6/2/2018,9:02,17:25,NP,381,1188,,Mark,HL
191,SVD GVD,3,6/2/2018,9:02,17:25,NP,300,1187,,Mark,HL
192,SVD GVD,3,6/2/2018,9:02,17:25,NP,435,1186,,Mark,HL
193,SVD GVD,3,6/2/2018,9:02,17:25,NP,422,1185,,Mark,HL
194,SVD GVD,3,6/2/2018,9:02,17:25,NP,485,1184,,Mark,HL
195,SVD GVD,3,6/2/2018,9:02,17:25,NP,430,1182,,Mark,HL
196,SVD GVD,3,6/2/2018,9:02,17:25,NP,389,1181,,Mark,HL
197,SVD GVD,3,6/2/2018,9:02,17:25,NP,342,1180,,Mark,HL
198,SVD GVD,3,6/2/2018,9:02,17:25,NP,350,1179,,Mark,HL
199,SVD GVD,3,6/2/2018,9:02,17:25,NP,428,1178,,Mark,HL
200,SVD GVD,3,6/2/2018,9:02,17:25,NP,318,1177,,Mark,HL
201,SVD GVD,3,6/2/2018,9:02,17:25,NP,302,1175,,Mark,HL
202,SVD GVD,3,6/2/2018,9:02,17:25,NP,394,1049,,Mark,HL
203,SVD GVD,3,6/2/2018,9:02,17:25,NP,324,1048,,Mark,HL
204,SVD GVD,3,6/2/2018,9:02,17:25,NP,348,1047,,Mark,HL
205,SVD GVD,3,6/2/2018,9:02,17:25,NP,410,1046,,Mark,HL
206,SVD GVD,3,6/2/2018,9:02,17:25,NP,354,1045,,Mark,HL
207,SVD GVD,3,6/2/2018,9:02,17:25,NP,375,1044,,Mark,HL
208,SVD GVD,3,6/2/2018,9:02,17:25,NP,355,1043,,Mark,HL
209,Eric and Rob,1,6/3/2018,9:15,16:35,NP,520,1411,"Bleeder, mort?",Mark,HL
210,Eric and Rob,1,6/3/2018,9:15,16:35,NP,378,1410,,Mark,HL
211,Eric and Rob,1,6/3/2018,9:15,16:35,NP,345,1409,,Mark,HL
212,Eric and Rob,1,6/3/2018,9:15,16:35,NP,342,1408,,Mark,HL
213,SVD GVD,1,6/3/2018,9:00,17:00,NP,360,1042,,Mark,HL
214,SVD GVD,1,6/3/2018,9:00,17:00,NP,354,1041,,Mark,HL
215,SVD GVD,1,6/3/2018,9:00,17:00,NP,374,1040,,Mark,HL
216,SVD GVD,1,6/3/2018,9:00,17:00,NP,329,1039,,Mark,HL
217,SVD GVD,1,6/3/2018,9:00,17:00,NP,390,1038,,Mark,HL
218,SVD GVD,1,6/3/2018,9:00,17:00,NP,393,1037,,Mark,HL
219,SVD GVD,1,6/3/2018,9:00,17:00,NP,424,1036,,Mark,HL
220,Eric  ,5,6/4/2018,9:08,17:28,NP,501,1407,,Mark,HL
221,Eric  ,5,6/4/2018,9:08,17:28,NP,410,1406,,Mark,HL
222,Eric  ,5,6/4/2018,9:08,17:28,NP,548,1405,,Mark,HL
223,Eric  ,5,6/4/2018,9:08,17:28,NP,431,1404,,Mark,HL
224,Eric  ,5,6/4/2018,9:08,17:28,NP,472,1403,,Mark,HL
225,SVD GVD,5,6/4/2018,9:08,17:20,NP,394,1035,,Mark,HL
226,SVD GVD,5,6/4/2018,9:08,17:20,NP,495,1034,,Mark,HL
227,SVD GVD,5,6/4/2018,9:08,17:20,NP,532,1033,,Mark,HL
228,SVD GVD,5,6/4/2018,9:08,17:20,NP,534,1032,,Mark,HL
229,SVD GVD,5,6/4/2018,9:08,17:20,NP,383,1031,,Mark,HL
230,SVD GVD,5,6/4/2018,9:08,17:20,NP,460,1030,,Mark,HL
231,SVD GVD,5,6/4/2018,9:08,17:20,NP,498,1029,,Mark,HL
232,SVD GVD,5,6/4/2018,9:08,17:20,NP,565,1028,,Mark,HL
233,SVD GVD,5,6/4/2018,9:08,17:20,NP,486,1027,,Mark,HL
234,PB CJ,4,6/4/2018,14:30,17:25,NP,375,1389,,Mark,HL
235,PB CJ,4,6/4/2018,14:30,17:25,NP,425,1388,,Mark,HL
236,PB CJ,4,6/4/2018,14:30,17:25,NP,435,1387,,Mark,HL
237,PB CJ,4,6/4/2018,14:30,17:25,NP,380,1386,,Mark,HL
238,PB CJ,4,6/4/2018,14:30,17:25,NP,342,1385,,Mark,HL
239,PB CJ,4,6/4/2018,14:30,17:25,NP,350,1384,,Mark,HL
240,PB CJ,4,6/4/2018,14:30,17:25,NP,480,1383,,Mark,HL
241,PB CJ,4,6/4/2018,14:30,17:25,NP,325,1382,,Mark,HL
242,PB CJ,4,6/4/2018,14:30,17:25,NP,460,1381,,Mark,HL
243,PB CJ,4,6/4/2018,14:30,17:25,NP,360,1380,,Mark,HL
244,PB CJ,4,6/4/2018,14:30,17:25,NP,430,1379,,Mark,HL
245,PB CJ,4,6/4/2018,14:30,17:25,NP,382,1378,,Mark,HL
246,PB CJ,4,6/4/2018,14:30,17:25,NP,370,1377,,Mark,HL
247,PB CJ,4,6/4/2018,14:30,17:25,NP,383,1376,,Mark,HL
248,PB CJ,4,6/4/2018,14:30,17:25,NP,507,1375,,Mark,HL
249,PB CJ,4,6/4/2018,14:30,17:25,NP,510,1524,,Mark,HL
250,PB CJ,4,6/4/2018,14:30,17:25,NP,399,1523,,Mark,HL
251,PB CJ,4,6/4/2018,14:30,17:25,NP,446,1522,,Mark,HL
252,PB CJ,4,6/4/2018,14:30,17:25,NP,395,1521,,Mark,HL
253,PB CJ,4,6/4/2018,14:30,17:25,NP,440,1520,,Mark,HL
254,PB CJ,4,6/4/2018,14:30,17:25,NP,411,1519,,Mark,HL
255,PB CJ,4,6/4/2018,14:30,17:25,NP,342,1518,,Mark,HL
256,PB CJ,4,6/4/2018,14:30,17:25,NP,316,1517,,Mark,HL
257,PB CJ,4,6/4/2018,14:30,17:25,NP,390,,Mort,Mark,HL
258,PB CJ,4,6/4/2018,14:30,17:25,NP,410,1515,,Mark,HL
259,PB CJ,4,6/4/2018,14:30,17:25,NP,364,1514,,Mark,HL
260,PB CJ,4,6/4/2018,14:30,17:25,NP,268,,Mort,Mark,HL
261,PB CJ,4,6/4/2018,14:30,17:25,NP,385,1513,,Mark,HL
262,PB CJ,4,6/4/2018,14:30,17:25,NP,400,1512,,Mark,HL
263,SVD GVD,4,6/5/2018,9:05,17:00,NP,397,1026,,Mark,HL
264,SVD GVD,4,6/5/2018,9:05,17:00,NP,379,1025,,Mark,HL
265,SVD GVD,4,6/5/2018,9:05,17:00,NP,364,1074,,Mark,HL
266,SVD GVD,4,6/5/2018,9:05,17:00,NP,450,1073,,Mark,HL
267,SVD GVD,4,6/5/2018,9:05,17:00,NP,421,1072,,Mark,HL
268,SVD GVD,4,6/5/2018,9:05,17:00,NP,362,1071,,Mark,HL
269,SVD GVD,4,6/5/2018,9:05,17:00,NP,336,1070,,Mark,HL
270,SVD GVD,4,6/5/2018,9:05,17:00,NP,431,1069,,Mark,HL
271,SVD GVD,4,6/5/2018,9:05,17:00,NP,304,1068,,Mark,HL
272,SVD GVD,4,6/5/2018,9:05,17:00,NP,395,1067,,Mark,HL
273,SVD GVD,4,6/5/2018,9:05,17:00,NP,380,1066,,Mark,HL
274,SVD GVD,4,6/5/2018,9:05,17:00,NP,334,1065,,Mark,HL
275,SVD GVD,4,6/5/2018,9:05,17:00,NP,315,1064,,Mark,HL
276,SVD GVD,4,6/5/2018,9:05,17:00,NP,348,1063,,Mark,HL
277,SVD GVD,4,6/5/2018,9:05,17:00,NP,365,1062,,Mark,HL
278,SVD GVD,4,6/5/2018,9:05,17:00,NP,322,1061,,Mark,HL
279,SVD GVD,4,6/5/2018,9:05,17:00,NP,343,1060,,Mark,HL
280,SVD GVD,4,6/5/2018,9:05,17:00,NP,388,1059,,Mark,HL
281,SVD GVD,4,6/5/2018,9:05,17:00,NP,352,1058,,Mark,HL
282,SVD GVD,4,6/5/2018,9:05,17:00,NP,305,1057,,Mark,HL
283,SVD GVD,4,6/5/2018,9:05,17:00,NP,334,1056,,Mark,HL
284,SVD GVD,4,6/5/2018,9:05,17:00,NP,400,1055,,Mark,HL
285,SVD GVD,4,6/5/2018,9:05,17:00,NP,351,1054,,Mark,HL
286,SVD GVD,4,6/5/2018,9:05,17:00,NP,366,1053,,Mark,HL
287,SVD GVD,4,6/5/2018,9:05,17:00,NP,362,1052,,Mark,HL
288,SVD GVD,4,6/5/2018,9:05,17:00,NP,328,1051,,Mark,HL
289,SVD GVD,4,6/5/2018,9:05,17:00,NP,389,1050,,Mark,HL
290,SVD GVD,4,6/5/2018,9:05,17:00,NP,315,1099,,Mark,HL
291,SVD GVD,4,6/5/2018,9:05,17:00,NP,352,1098,,Mark,HL
292,SVD GVD,4,6/5/2018,9:05,17:00,NP,385,1097,,Mark,HL
293,SVD GVD,4,6/5/2018,9:05,17:00,NP,445,1096,Large wound on side,Mark,HL
294,SVD GVD,4,6/5/2018,9:05,17:00,NP,396,1095,,Mark,HL
295,SVD GVD,4,6/5/2018,9:05,17:00,NP,433,1094,,Mark,HL
296,SVD GVD,4,6/5/2018,9:05,17:00,NP,412,1093,,Mark,HL
297,SVD GVD,4,6/5/2018,9:05,17:00,NP,422,1092,,Mark,HL
298,SVD GVD,4,6/5/2018,9:05,17:00,NP,325,1091,,Mark,HL
299,SVD GVD,4,6/5/2018,9:05,17:00,NP,392,1090,,Mark,HL
300,SVD GVD,4,6/5/2018,9:05,17:00,NP,390,1089,,Mark,HL
301,SVD GVD,4,6/5/2018,9:05,17:00,NP,388,1088,,Mark,HL
302,SVD GVD,4,6/5/2018,9:05,17:00,NP,523,1087,,Mark,HL
303,SVD GVD,4,6/5/2018,9:05,17:00,NP,424,1086,,Mark,HL
304,SVD GVD,4,6/5/2018,9:05,17:00,NP,461,1085,,Mark,HL
305,SVD GVD,4,6/5/2018,9:05,17:00,NP,326,1084,,Mark,HL
306,SVD GVD,4,6/5/2018,9:05,17:00,NP,454,1083,,Mark,HL
307,SVD GVD,4,6/5/2018,9:05,17:00,NP,410,1082,,Mark,HL
308,SVD GVD,4,6/5/2018,9:05,17:00,NP,434,1081,,Mark,HL
309,SVD GVD,4,6/5/2018,9:05,17:00,NP,382,1080,,Mark,HL
310,SVD GVD,4,6/5/2018,9:05,17:00,NP,448,1079,,Mark,HL
311,SVD GVD,4,6/5/2018,9:05,17:00,NP,680,1078,,Mark,HL
312,SVD GVD,4,6/5/2018,9:05,17:00,NP,314,1077,,Mark,HL
313,SVD GVD,4,6/5/2018,9:05,17:00,NP,426,1075,,Mark,HL
314,EH EH,4,6/5/2018,8:45,17:00,NP,358,1402,,Mark,HL
315,EH EH,4,6/5/2018,8:45,17:00,NP,382,1401,,Mark,HL
316,EH EH,4,6/5/2018,8:45,17:00,NP,441,1400,,Mark,HL
317,EH EH,4,6/5/2018,8:45,17:00,NP,338,1425,,Mark,HL
318,EH EH,4,6/5/2018,8:45,17:00,NP,495,1426,,Mark,HL
319,EH EH,4,6/5/2018,8:45,17:00,NP,492,1427,,Mark,HL
320,EH EH,4,6/5/2018,8:45,17:00,NP,320,1428,,Mark,HL
321,EH EH,4,6/5/2018,8:45,17:00,NP,325,1429,,Mark,HL
322,EH EH,4,6/5/2018,8:45,17:00,NP,494,1430,,Mark,HL
323,EH EH,4,6/5/2018,8:45,17:00,NP,329,1432,,Mark,HL
324,EH EH,4,6/5/2018,8:45,17:00,NP,484,1433,,Mark,HL
325,EH EH,4,6/5/2018,8:45,17:00,NP,398,1434,,Mark,HL
326,EH EH,4,6/5/2018,8:45,17:00,NP,321,1435,,Mark,HL
